company_id,company_name,industry,working_capital_to_total_assets,retained_earnings_to_total_assets,ebit_to_total_assets,market_value_equity_to_total_liabilities,sales_to_total_assets,current_ratio,quick_ratio,debt_to_equity,interest_coverage,net_profit_margin,return_on_assets,return_on_equity,altman_z_score,is_bankrupt,years_to_bankruptcy
COMP_0522,Dynamic Industries #580,Manufacturing,0.002,0.388,0.0682,0.592,0.8904,1.0057,0.788,1.4484,2.7533,0.0369,0.0329,0.0805,2.0163,0,
COMP_0738,Elite Innovations #551,Financial Services,-0.0856,-0.0102,0.029,0.0239,0.1764,0.8156,0.5645,9.0,0.9848,-0.002,-0.0004,-0.0035,0.1694,0,
COMP_0741,Apex Technologies #69,Telecommunications,0.1297,0.1042,0.0405,0.2954,0.2531,1.489,0.9736,2.7406,1.4656,0.0396,0.01,0.0375,0.8653,0,
COMP_0661,Premier Manufacturing,Manufacturing,0.1716,0.305,0.1045,1.6327,0.7782,1.7072,1.2562,2.1145,3.0648,0.0706,0.0549,0.171,2.7358,0,
COMP_0412,Apex Logistics #434,Healthcare,0.354,0.6455,0.2045,8.2843,0.8501,3.3103,2.6124,0.4716,13.6892,0.1731,0.1472,0.2166,7.8242,0,
COMP_0679,Premier Industries #290,Energy,-0.0132,-0.1466,0.0025,0.0199,0.4905,0.9541,0.8374,1.6293,0.0661,-0.0613,-0.0301,-0.0791,0.2894,0,
COMP_0627,Global Dynamics,Financial Services,-0.0304,0.095,0.0757,0.7788,0.2614,0.9052,0.5955,9.0,3.7605,0.1652,0.0432,0.4318,1.0751,0,
COMP_0514,Dynamic Holdings #492,Telecommunications,-0.0555,-0.036,0.0286,0.0122,0.2643,0.836,0.5741,3.768,0.8739,-0.0122,-0.0032,-0.0154,0.2491,0,
COMP_0860,Nova Enterprises,Telecommunications,0.0131,-0.29,-0.0145,0.0077,0.2168,1.0425,0.3849,54.7087,-0.1477,-0.4113,-0.0892,-4.9679,-0.2168,1,3.0
COMP_0137,Elite Logistics #571,Transportation,-0.0004,0.3369,0.0672,0.6648,0.7233,0.9985,0.8206,1.6236,1.4759,0.0245,0.0177,0.0464,1.8151,0,
COMP_0812,Stellar Systems,Telecommunications,-0.3073,-0.356,0.0065,0.0051,0.3125,0.4025,0.1032,20.246,0.0488,-0.2905,-0.0908,-1.9291,-0.5302,1,3.0
COMP_0077,Strategic Services #88,Financial Services,-0.0981,0.095,0.0565,0.5086,0.4388,0.6908,0.5558,9.0,2.184,0.0594,0.0261,0.2605,0.9458,0,
COMP_0637,Elite Industries,Healthcare,0.4177,0.0734,0.0475,0.7073,0.6046,3.5364,2.1448,0.8132,2.4122,0.0339,0.0205,0.0372,1.7897,0,
COMP_0974,Prime Systems #680,Retail,-0.2953,-0.4318,0.0316,0.0065,0.4142,0.5551,0.2353,15.2702,0.235,-0.1914,-0.0793,-1.2903,-0.4366,1,5.0
COMP_0939,United Dynamics,Retail,-0.1898,-0.3775,-0.0038,0.0035,0.064,0.6183,0.0968,26.1907,-0.0372,-1.3423,-0.0859,-2.3362,-0.7028,1,4.0
