working_capital_to_total_assets,retained_earnings_to_total_assets,ebit_to_total_assets,market_value_equity_to_total_liabilities,sales_to_total_assets,current_ratio,quick_ratio,debt_to_equity,interest_coverage,net_profit_margin,return_on_assets,return_on_equity,is_insolvent,company_id,company_name,industry,company_size,economic_cycle
-0.032,-0.0275,-0.0504,0.6792,0.6271,0.6955,0.4729,2.8501,2.1814,-0.0534,0.0012,-0.0594,1,COMP_06253,Phoenix Digital Ltd,Pharmaceuticals,medium,contraction
-0.2237,0.15,0.06,0.827,0.7792,0.7087,0.2303,3.7884,1.6502,-0.0408,0.0215,-0.0888,1,COMP_04685,Apex Devices Group,Hospitality,medium,contraction
0.1636,0.2673,0.0152,0.9694,0.3699,0.81,0.8674,1.3419,1.7501,0.0229,0.0182,0.0038,0,COMP_01732,Summit Systems International,E-Commerce,micro,contraction
0.0155,0.0127,-0.0315,0.3123,0.4842,0.6756,0.4615,6.6947,1.4431,-0.0193,-0.0156,-0.0067,1,COMP_04743,Eagle Trade SA,Real Estate,micro,contraction
-0.0613,0.1089,0.0184,0.7734,0.569,1.067,0.5356,2.4391,2.5012,-0.05,-0.0355,-0.1016,1,COMP_04522,Omega Digital Holdings,Construction,small,trough
-0.0265,-0.0448,-0.0471,0.9026,0.3712,0.5864,0.4549,8.3676,0.2505,-0.0149,-0.0042,-0.1074,1,COMP_06341,Titan Enterprises PLC,Real Estate,small,trough
0.1339,0.1402,0.0855,1.0767,0.3,1.6789,1.159,1.4413,5.1412,0.0012,0.0457,0.1182,0,COMP_00577,Freedom Labs Inc,Mining,small,contraction
0.12,-0.0975,-0.0266,1.1294,0.4773,0.8294,0.4267,3.3164,1.6258,-0.026,0.0176,-0.0668,1,COMP_05203,Prime Power Ltd,Entertainment,micro,trough
0.0404,0.07,-0.0357,0.8219,0.5678,0.6189,0.5604,2.0884,1.7479,-0.0221,-0.0407,-0.078,1,COMP_06364,Integrated Products Inc,Transportation,small,expansion
0.1508,0.251,0.0991,2.1358,0.4933,1.4472,0.6515,0.8149,3.7521,0.0723,0.0263,0.0893,0,COMP_00440,Innovative Materials LLC,Healthcare,micro,expansion
0.1124,0.1662,0.0451,1.7778,1.3269,1.5503,1.3412,1.0651,2.3203,0.0825,0.0768,0.1086,0,COMP_02751,Vista Manufacturing Corp,Telecommunications,small,expansion
-0.0066,0.0628,-0.1035,0.7683,0.8739,0.8361,0.2565,5.2637,0.6199,-0.028,0.013,-0.0548,1,COMP_07488,Frontier Holdings Holdings,REIT,medium,contraction
0.0787,-0.1931,0.019,0.6372,0.7798,1.4162,0.8597,2.4992,1.0485,-0.0155,-0.0072,-0.2126,1,COMP_05273,Integrated Logistics PLC,Entertainment,medium,peak
0.12,0.039,0.0149,0.5545,0.3233,0.8261,0.8942,2.1513,1.9417,-0.1636,-0.0156,-0.164,1,COMP_05654,Alpha Trade Co,Construction,medium,expansion
0.0702,0.3004,0.0958,2.2347,1.0388,1.4155,0.5603,0.7192,5.0821,0.0505,0.0362,0.0729,0,COMP_04000,Zenith Solutions LLC,E-Commerce,medium,contraction
-0.1049,-0.0532,0.0037,0.75,0.4363,0.7188,0.5435,4.9307,1.462,0.0036,-0.0306,-0.1623,1,COMP_06034,Core Retail Group,Logistics,micro,contraction
0.2633,0.3298,0.0524,1.4796,0.7708,1.3028,0.981,0.6655,1.6591,0.0208,0.0694,0.2055,0,COMP_00583,Sigma Networks Group,E-Commerce,small,peak
0.0001,0.1398,0.0069,0.4925,0.5812,1.3051,1.4176,3.2,3.0481,-0.0205,-0.0004,0.1422,0,COMP_09931,Vertex Logistics SA,Financial Services,small,peak
-0.0695,-0.0311,-0.0622,0.5367,0.1322,0.7082,0.0683,2.4167,1.4865,-0.0725,-0.0084,0.0195,1,COMP_07052,Innovative Power Group,Software,medium,contraction
-0.0778,-0.1061,0.0389,0.35,0.478,0.7026,0.7822,3.9464,0.8753,0.0082,0.0162,-0.017,1,COMP_08159,Nexus Capital Ltd,Financial Services,small,trough
-0.026,0.1539,-0.0203,0.603,0.862,2.3074,1.323,2.0603,1.0963,0.074,0.0029,0.1419,1,COMP_09897,Vanguard Corp SA,Renewable Energy,medium,expansion
0.097,0.3798,0.0384,1.0607,1.1592,0.765,0.8054,1.2689,5.5501,0.0302,0.0477,0.1225,0,COMP_02250,Omega Med Holdings,Telecommunications,medium,trough
-0.0599,-0.0901,-0.0394,0.9168,0.4475,1.048,0.8598,3.326,1.7914,-0.0089,0.0186,-0.184,1,COMP_04641,Vista Analytics Ltd,Logistics,small,expansion
-0.032,-0.0858,0.0168,1.5609,1.1259,0.6516,0.724,0.8719,2.9714,-0.0099,0.0094,0.0241,0,COMP_09486,Eagle International PLC,Healthcare,medium,trough
0.0237,-0.0249,-0.0908,0.9089,0.9839,0.9279,0.7962,3.5825,2.8,-0.0092,0.0215,-0.1583,1,COMP_04948,Frontier Industries Holdings,Renewable Energy,medium,contraction
0.0715,0.1346,0.0453,1.4391,0.9214,0.851,0.9156,1.7216,0.5614,0.031,-0.0114,0.078,0,COMP_09921,Royal Power Holdings,Automotive,small,expansion
0.2253,0.3295,0.0977,1.8707,2.0719,1.4994,0.8532,0.7309,3.813,0.0323,0.065,0.1744,0,COMP_01964,Omega Energy Group,Media,large,peak
0.2189,0.0134,-0.0273,1.2377,0.6815,2.0014,1.1855,1.5619,2.2212,-0.0155,0.0165,0.0526,1,COMP_08244,Frontier Bio Holdings,Hospitality,small,expansion
0.0427,0.15,0.0121,0.9558,0.4987,0.8993,0.5599,1.1111,1.1016,-0.102,0.0207,0.0987,1,COMP_06591,Crown Holdings Ltd,Software,micro,expansion
0.0674,0.2252,0.1,1.6996,0.6572,1.5095,1.0017,0.6922,4.1253,0.0429,-0.0114,0.031,1,COMP_08848,Eagle Bio SA,Technology,large,contraction
0.2217,0.3412,0.1436,2.1613,0.7734,1.8357,1.2733,0.607,1.5,0.0777,0.0991,0.1456,0,COMP_00322,Phoenix Med Group,Semiconductors,small,peak
0.322,0.2087,0.0693,1.436,1.1492,1.3101,0.7088,0.9514,3.2043,0.0357,0.0235,0.1002,0,COMP_02679,Heritage Enterprises PLC,Entertainment,medium,contraction
-0.1675,0.15,-0.0909,0.4516,0.5679,0.1567,0.818,1.4799,2.2291,-0.0616,0.0056,0.0469,1,COMP_04626,Atlantic Labs Inc,Biotechnology,large,trough
-0.0378,-0.0613,-0.0337,0.6585,0.8017,0.7547,0.6871,3.4424,1.6115,-0.0436,-0.0554,-0.1107,1,COMP_04950,Titan Capital Corp,Logistics,large,peak
0.0932,0.2501,-0.0112,0.5416,0.6825,1.7017,1.0781,1.3659,1.1163,0.0252,0.0425,-0.0384,0,COMP_08329,Pinnacle International Corp,E-Commerce,enterprise,expansion
0.2714,0.1893,0.1029,2.4892,0.7442,1.8515,0.7298,0.8227,3.2869,0.0512,0.0276,0.0898,0,COMP_03338,Vertex Brands Holdings,Healthcare,small,trough
0.0667,0.1278,0.0279,0.4918,0.5713,0.8381,0.6518,3.8902,2.8,-0.0404,-0.0027,-0.0447,1,COMP_05590,Crown Resources International,Telecommunications,micro,contraction
0.0706,0.1722,0.0832,0.5,0.7081,1.1865,1.2263,2.1738,5.763,0.0288,0.0379,0.1417,0,COMP_00252,Pacific Products Co,Financial Services,small,expansion
0.1311,0.2149,0.0644,1.734,0.3,0.945,1.1381,0.7079,2.4984,0.0267,-0.004,0.0701,0,COMP_03974,Pinnacle Bio International,Logistics,small,peak
-0.1101,0.0152,0.06,0.05,0.7202,0.8555,0.5063,5.4813,1.1745,-0.0307,-0.0106,-0.0831,1,COMP_06631,Titan Brands International,Construction,medium,contraction
-0.0414,0.0707,0.06,0.6345,0.8331,0.9141,0.1998,8.0,1.0198,-0.1573,-0.0604,-0.4069,1,COMP_05548,Prime Products Ltd,Financial Services,small,peak
0.0778,0.1369,0.069,0.606,0.5291,0.9109,0.4838,2.6991,1.5,-0.012,0.0252,0.1124,0,COMP_00036,Precision Holdings PLC,REIT,micro,contraction
-0.1103,0.1016,0.0049,2.0,1.1041,0.8392,1.2019,1.1201,3.9877,0.0789,-0.0255,0.1569,1,COMP_08363,Phoenix Labs PLC,Software,medium,peak
0.1843,0.3371,0.083,1.972,1.4561,1.9029,1.7828,0.7411,8.5032,0.1019,0.1129,0.1371,0,COMP_01514,Horizon International Ltd,Energy,large,expansion
0.0637,0.1627,-0.037,1.1809,1.3146,0.8839,0.6434,1.7698,2.0688,0.0168,0.0022,0.0387,0,COMP_09318,Metro Services SA,Automotive,medium,trough
0.1124,0.1989,0.0329,2.6352,0.7419,1.4552,1.1028,0.6269,4.7271,-0.0173,-0.0032,0.039,0,COMP_00040,Core Services LLC,Biotechnology,medium,trough
-0.0519,0.15,-0.0379,0.574,0.2238,1.1953,0.4877,3.2933,0.05,-0.0473,-0.0263,-0.0469,1,COMP_04820,Titan Bio Inc,Mining,large,contraction
0.197,0.0906,0.0603,0.9471,0.8206,1.3712,0.9083,0.9259,4.2415,0.0534,0.0665,0.0931,0,COMP_03466,Nova Corp Corp,Semiconductors,small,contraction
0.1643,0.1926,0.0512,1.4964,0.9003,1.3225,0.9805,1.4999,1.5,0.0275,0.0107,0.0549,0,COMP_01761,Premier Solutions Inc,Automotive,medium,trough
0.2123,0.1388,0.0408,2.2887,1.1991,2.1216,1.341,0.5942,1.5,0.0741,0.0003,0.0455,0,COMP_02305,Strategic Products LLC,Retail,large,expansion
0.1686,0.1558,0.0653,0.8306,0.4684,0.99,0.8036,0.7281,3.5392,0.0694,0.0422,0.0031,0,COMP_03724,Elite Holdings Holdings,Entertainment,small,expansion
0.0584,0.28,0.0081,1.2406,1.0343,1.0861,0.5367,1.956,0.4,0.0351,0.0053,-0.0434,1,COMP_08285,Core Trade Holdings,Transportation,enterprise,trough
-0.1443,-0.0532,-0.0273,0.5283,0.7266,1.1853,0.5832,3.9531,1.2375,-0.0622,-0.135,-0.0467,1,COMP_04994,Dynamic Solutions PLC,Transportation,medium,expansion
0.22,-0.1217,0.1,1.1402,0.5303,1.8906,0.5888,1.8859,0.8642,0.074,0.0228,-0.0076,1,COMP_08128,Legacy Commerce PLC,Mining,medium,expansion
0.1214,0.1323,0.0488,1.677,0.6876,1.5866,0.55,1.5675,3.4744,0.0049,0.0117,0.082,0,COMP_03033,Sigma Med Group,Hospitality,small,expansion
-0.1783,-0.0008,-0.0531,0.6044,0.2079,1.0792,0.3848,5.4231,2.0696,-0.1479,-0.0603,-0.038,1,COMP_07939,Phoenix Industries SA,Real Estate,micro,expansion
0.1327,0.1998,0.0837,2.2235,0.5339,0.99,1.2299,0.556,3.6715,0.0891,0.0718,0.1602,0,COMP_03040,Liberty Pharma SA,Pharmaceuticals,small,expansion
0.2029,0.1725,0.0062,1.1592,0.8222,0.6434,0.4291,1.6717,2.1566,0.072,-0.0234,0.0125,0,COMP_09656,Core Labs Inc,Media,micro,peak
0.1111,0.1227,0.07,1.931,0.3,0.99,0.6246,0.7401,3.9855,0.0991,0.0676,0.127,0,COMP_02546,Crown Corp International,Pharmaceuticals,micro,expansion
0.1667,0.3652,-0.0048,0.9714,0.9578,1.9039,0.7416,1.1922,2.9699,0.055,0.0073,0.0591,0,COMP_02593,Alpha Works International,Airlines,large,contraction
0.268,0.3367,0.144,2.0212,0.9014,1.2114,1.7082,0.4846,8.2839,0.1377,0.0798,0.2068,0,COMP_01189,Precision Materials International,Pharmaceuticals,medium,expansion
0.0374,0.0603,-0.0516,0.05,0.3755,0.9293,0.6501,2.469,1.1179,-0.1204,-0.0523,-0.1622,1,COMP_07967,Dynamic Analytics Corp,Pharmaceuticals,medium,peak
-0.1004,0.1086,-0.1302,0.6564,0.7072,0.1567,0.0627,4.8112,0.4771,-0.0305,0.0057,-0.0754,1,COMP_06078,Legacy Ventures Holdings,Airlines,large,trough
0.2303,0.2141,0.1771,2.815,1.8744,1.1019,0.4514,0.3262,6.2626,0.0483,0.066,0.0479,0,COMP_00108,Nova Consulting Ltd,Software,large,trough
0.1057,0.2561,0.0707,0.5,0.6074,1.9012,0.7037,2.056,7.6709,0.1045,0.0602,0.1316,0,COMP_01316,Freedom Labs Corp,Financial Services,medium,expansion
0.0734,0.1281,-0.0115,0.4471,0.965,1.642,0.8682,2.3408,1.6076,-0.0,0.0218,0.0337,1,COMP_08188,Crown Enterprises Ltd,Utilities,medium,expansion
0.2036,0.3108,0.0294,1.1138,0.4984,2.1082,1.251,1.0812,6.1946,0.0389,0.1004,0.1687,0,COMP_02754,Phoenix Tech Co,Mining,small,peak
0.0183,0.1395,0.0902,2.0,0.6681,1.4403,0.8054,0.94,1.8382,0.0305,0.0723,0.1577,1,COMP_09754,Dynamic Instruments Co,Technology,medium,peak
0.0995,-0.0651,-0.0483,0.5289,0.7383,1.1057,0.8173,1.5319,1.7278,-0.0591,-0.0299,-0.087,1,COMP_06232,Omega Med International,Software,small,expansion
0.1139,0.2482,0.0313,2.214,0.8086,1.1314,1.4099,1.2458,4.6389,0.011,0.011,0.0451,0,COMP_02877,Advanced Partners International,Logistics,medium,contraction
-0.1667,-0.085,-0.005,0.763,0.2783,0.6412,0.4442,1.4799,0.9242,-0.0067,-0.0235,-0.0424,1,COMP_05324,Prime Analytics Corp,Software,small,trough
0.3347,0.2314,0.162,2.7372,0.9955,1.1654,1.0185,0.2642,4.85,0.0647,0.1454,0.2371,0,COMP_00800,Omega Corp International,Software,medium,expansion
0.1985,0.2018,0.0825,2.3339,0.3,1.7747,0.9304,0.8673,1.9467,0.0385,0.0094,0.0153,0,COMP_03571,Eagle Resources International,E-Commerce,micro,contraction
0.0452,0.1988,0.0014,1.3211,0.8387,0.99,0.909,0.8948,1.5,0.0062,-0.0052,0.0843,0,COMP_02895,Freedom Systems Group,Media,medium,expansion
0.0566,0.1903,0.0338,0.5,0.432,1.3709,1.0557,1.45,3.5196,0.0337,0.0047,0.0495,0,COMP_02928,Nexus Partners International,Automotive,small,expansion
-0.0077,0.1058,-0.0381,1.3445,0.8726,1.3458,0.2351,3.0732,3.5817,0.0332,0.0133,-0.0192,1,COMP_08179,Precision Development Co,Energy,small,trough
0.1085,0.3028,0.033,2.4209,0.3663,1.0743,0.4882,1.3336,1.5,-0.001,0.0412,-0.0001,0,COMP_00972,Crown Capital Inc,Construction,micro,contraction
-0.0139,0.0155,-0.0309,0.5568,0.5438,0.8612,0.4718,4.0123,1.3749,-0.02,0.0027,-0.0646,1,COMP_06688,National Holdings SA,Manufacturing,small,trough
0.156,-0.0704,-0.0661,0.7496,0.5807,0.605,1.1973,1.7185,2.29,0.0491,-0.0611,-0.0084,0,COMP_08576,Horizon Manufacturing International,Oil & Gas,small,expansion
0.1497,0.1228,0.0163,1.1262,0.5467,1.097,0.5925,1.2266,1.8032,0.0287,0.0352,0.0776,0,COMP_02021,Summit International LLC,Logistics,small,peak
-0.18,0.1958,-0.0354,0.5138,0.9111,1.2404,1.3505,1.4273,0.4,0.074,-0.008,0.148,1,COMP_09055,Elite Bio Group,Airlines,medium,expansion
0.1248,0.2752,0.0882,0.5,0.8813,1.544,1.1556,1.4433,5.4669,0.0077,0.0251,0.0465,0,COMP_00953,Global Ventures Holdings,Real Estate,medium,trough
0.0061,0.0387,-0.0666,0.8843,0.5312,0.3423,0.1012,3.2512,0.5187,-0.0119,-0.0224,-0.069,1,COMP_05360,Titan Materials Corp,Pharmaceuticals,medium,contraction
0.1373,0.3162,0.096,0.5935,1.4487,1.0122,1.1383,0.7979,6.1778,0.049,0.0829,0.0975,0,COMP_03858,Atlantic Analytics Inc,Logistics,medium,peak
-0.2449,0.0168,0.0147,0.9912,0.6263,0.7694,0.6156,3.1968,1.3393,-0.0368,-0.0205,0.0192,1,COMP_05862,Sigma Materials Corp,Agriculture,small,contraction
0.2723,0.0229,0.0832,3.2544,0.3,1.5573,0.9181,0.4079,6.2864,-0.0135,0.1131,0.1684,0,COMP_03146,Sigma Med Group,Software,micro,peak
0.336,0.3108,0.1218,1.8299,0.9166,1.1559,0.425,0.5529,2.9207,0.0394,0.0383,0.0644,0,COMP_03306,Nova Med SA,Healthcare,medium,trough
0.0499,0.0671,0.0683,0.689,0.3499,1.5126,0.6209,1.7484,1.5,0.0244,0.0328,0.0441,0,COMP_03007,Heritage Solutions Ltd,Utilities,micro,expansion
0.0241,0.0525,0.0097,1.1781,0.657,0.731,0.9587,1.6259,1.1713,-0.04,-0.0101,0.0647,0,COMP_09002,Peak Retail LLC,Media,medium,expansion
0.0453,0.0431,-0.002,0.4667,0.6465,0.5297,0.6059,5.3903,2.1918,-0.0347,-0.0098,-0.1518,1,COMP_07771,Paramount Products SA,REIT,medium,contraction
-0.0791,0.0679,-0.0167,0.0582,0.566,0.2307,0.4011,2.7656,0.3112,0.0247,0.0248,-0.2562,1,COMP_07439,National Power Inc,Oil & Gas,micro,expansion
0.0319,-0.0065,0.0247,0.5944,0.5046,1.02,0.7391,3.2192,1.4148,-0.0301,-0.0504,-0.0848,1,COMP_07943,Horizon Labs Group,Utilities,small,expansion
0.1308,0.1899,0.0169,1.9827,0.559,1.1823,1.3933,0.57,3.467,0.0423,0.0191,0.0872,0,COMP_09239,Titan Management Ltd,Software,small,expansion
0.0779,0.4004,0.0379,0.5,1.4961,1.5707,1.094,2.3159,4.8155,0.0469,0.0627,0.0578,0,COMP_01057,Dynamic Dynamics SA,Banking,large,contraction
0.1813,0.0845,0.0956,0.5,0.5824,1.2554,0.9233,1.662,3.6298,0.0732,0.0749,0.2024,0,COMP_03155,Legacy Commerce PLC,Telecommunications,micro,peak
0.2414,0.2881,0.0275,2.7058,2.2424,2.3448,1.9522,0.5022,3.7849,0.0676,0.0833,0.0989,0,COMP_03788,Premier Analytics Ltd,Media,large,expansion
0.2031,0.1737,-0.0056,0.8145,0.8851,0.7892,0.255,1.745,2.155,-0.0087,-0.0135,0.0722,0,COMP_09190,Zenith Components Inc,Entertainment,large,trough
0.0674,0.1115,0.0319,0.8443,0.601,1.0285,0.5857,7.3947,1.5469,0.0263,-0.0304,-0.0334,1,COMP_07826,Innovative Enterprises PLC,REIT,enterprise,peak
0.109,-0.0133,0.0487,0.7767,0.6425,0.4155,0.5413,5.1232,1.0568,0.0143,-0.0144,-0.136,1,COMP_07540,Freedom Digital Holdings,Construction,medium,contraction
0.0076,-0.002,0.06,0.3438,0.2329,0.2307,0.8235,2.2298,0.9862,-0.1007,0.037,-0.0235,1,COMP_07232,Heritage Materials LLC,Renewable Energy,large,expansion
0.1989,0.2472,0.0441,2.4241,0.9893,1.2783,0.8213,1.3286,3.7416,0.0261,0.0326,0.0476,0,COMP_00765,Atlantic Bio Holdings,Retail,medium,trough
0.0264,0.15,-0.018,0.3589,0.831,0.4153,0.5202,1.4799,1.0466,-0.012,0.0051,-0.029,1,COMP_05020,Freedom Capital International,Healthcare,small,trough
-0.1758,0.0705,0.06,0.3499,0.4411,1.0743,0.0861,3.6467,1.4129,0.0263,-0.0302,-0.2611,1,COMP_04904,Pioneer Logistics Holdings,Mining,micro,peak
