company_id,company_name,industry,company_size,economic_cycle,is_insolvent
COMP_06253,Phoenix Digital Ltd,Pharmaceuticals,medium,contraction,1
COMP_04685,Apex Devices Group,Hospitality,medium,contraction,1
COMP_01732,Summit Systems International,E-Commerce,micro,contraction,0
COMP_04743,Eagle Trade SA,Real Estate,micro,contraction,1
COMP_04522,Omega Digital Holdings,Construction,small,trough,1
COMP_06341,Titan Enterprises PLC,Real Estate,small,trough,1
COMP_00577,Freedom Labs Inc,Mining,small,contraction,0
COMP_05203,Prime Power Ltd,Entertainment,micro,trough,1
COMP_06364,Integrated Products Inc,Transportation,small,expansion,1
COMP_00440,Innovative Materials LLC,Healthcare,micro,expansion,0
COMP_02751,Vista Manufacturing Corp,Telecommunications,small,expansion,0
COMP_07488,Frontier Holdings Holdings,REIT,medium,contraction,1
COMP_05273,Integrated Logistics PLC,Entertainment,medium,peak,1
COMP_05654,Alpha Trade Co,Construction,medium,expansion,1
COMP_04000,Zenith Solutions LLC,E-Commerce,medium,contraction,0
COMP_06034,Core Retail Group,Logistics,micro,contraction,1
COMP_00583,Sigma Networks Group,E-Commerce,small,peak,0
COMP_09931,Vertex Logistics SA,Financial Services,small,peak,0
COMP_07052,Innovative Power Group,Software,medium,contraction,1
COMP_08159,Nexus Capital Ltd,Financial Services,small,trough,1
COMP_09897,Vanguard Corp SA,Renewable Energy,medium,expansion,1
COMP_02250,Omega Med Holdings,Telecommunications,medium,trough,0
COMP_04641,Vista Analytics Ltd,Logistics,small,expansion,1
COMP_09486,Eagle International PLC,Healthcare,medium,trough,0
COMP_04948,Frontier Industries Holdings,Renewable Energy,medium,contraction,1
COMP_09921,Royal Power Holdings,Automotive,small,expansion,0
COMP_01964,Omega Energy Group,Media,large,peak,0
COMP_08244,Frontier Bio Holdings,Hospitality,small,expansion,1
COMP_06591,Crown Holdings Ltd,Software,micro,expansion,1
COMP_08848,Eagle Bio SA,Technology,large,contraction,1
COMP_00322,Phoenix Med Group,Semiconductors,small,peak,0
COMP_02679,Heritage Enterprises PLC,Entertainment,medium,contraction,0
COMP_04626,Atlantic Labs Inc,Biotechnology,large,trough,1
COMP_04950,Titan Capital Corp,Logistics,large,peak,1
COMP_08329,Pinnacle International Corp,E-Commerce,enterprise,expansion,0
COMP_03338,Vertex Brands Holdings,Healthcare,small,trough,0
COMP_05590,Crown Resources International,Telecommunications,micro,contraction,1
COMP_00252,Pacific Products Co,Financial Services,small,expansion,0
COMP_03974,Pinnacle Bio International,Logistics,small,peak,0
COMP_06631,Titan Brands International,Construction,medium,contraction,1
COMP_05548,Prime Products Ltd,Financial Services,small,peak,1
COMP_00036,Precision Holdings PLC,REIT,micro,contraction,0
COMP_08363,Phoenix Labs PLC,Software,medium,peak,1
COMP_01514,Horizon International Ltd,Energy,large,expansion,0
COMP_09318,Metro Services SA,Automotive,medium,trough,0
